,prompts
0,"Generate an image of an ancient Chinese scene with a young warrior standing on a watchtower at night. The warrior should be dressed in traditional attire, with a sword at his side. The watchtower should be made of stone and have a lantern hanging from its roof. The night sky should be clear, with a full moon shining brightly. The background should depict an ancient Chinese city, with traditional buildings and a river flowing through it. The colors should be muted, with shades of blue and gray dominating the scene. Ensure that there are no text or watermarks in the generated image."
1,"Generate an image with no text or watermark. The picture should depict a scene from ancient China. In the foreground, there is a majestic white horse standing proudly. Its coat is as white as snow, and it is positioned on the left side of the image. On the right side, there is a vast grassland stretching towards the horizon. The grass is a vibrant green, and it seems to go on endlessly. In the distance, there are mountains covered in mist, creating a serene backdrop. The sky above is a clear blue, with wisps of white clouds scattered across it. The overall atmosphere should evoke a sense of tranquility and grandeur."
2,"Create a serene image with ancient Chinese elements. The picture should depict a tranquil scene with a bridge over a flowing river. In the foreground, there should be a willow tree with its branches gently swaying in the breeze. The tree should be lush and green, symbolizing vitality. On the bridge, position a person wearing traditional Chinese clothing, walking leisurely. The person should be in a relaxed posture, enjoying the peaceful surroundings. The background should showcase misty mountains, painted in shades of blue and gray, evoking a sense of tranquility. The buildings in the distance should be traditional Chinese architecture, with curved roofs and intricate designs. Ensure that there are no texts or watermarks in the generated image."
3,"Generate an image with no text or watermark. The picture should depict a snowy mountain range with flying snowflakes. The mountains should be colored in shades of gray and white, towering in the background. In the foreground, there should be an ancient Chinese watchtower, positioned on a hill. The watchtower should be colored in earthy tones, such as brown and beige. The background scene should showcase a serene winter landscape, with a frozen river winding through the valley. The overall color scheme should be cool, with shades of blue and white dominating the image."
4,"Generate an image with a jade window on the left side, emitting a soft green glow. Outside the window, there are fireflies flickering in the night, casting their gentle light. On the right side, there is a magnificent golden palace, standing tall and silent. The palace is adorned with intricate carvings and has a grand entrance. The background should be a serene and tranquil scene, with a moonlit night sky painted in shades of indigo and silver. There should be a calm river flowing in the distance, reflecting the moon's shimmering light. The overall atmosphere should evoke a sense of ancient Chinese elegance and beauty. Please ensure that there are no text or watermarks in the generated image."
5,"Generate an image with no text or watermark. The picture should depict a serene scene in ancient China. In the foreground, there should be a weeping willow tree with its long, slender branches cascading down towards a tranquil pond. The leaves of the tree should be a vibrant shade of emerald green, gently swaying in the wind. The pond should be calm, reflecting the soft hues of the surrounding landscape. In the background, there should be a traditional Chinese pavilion, adorned with intricate carvings and a curved, tiled roof. The pavilion should be painted in a rich vermilion color, symbolizing prosperity and good fortune. The sky should be a dusky indigo, with wisps of clouds scattered across it. The overall atmosphere should evoke a sense of melancholy and tranquility, capturing the emotions described in the poem."
6,"Generate an image with no text or watermark. The picture should depict a serene scene in ancient China. In the foreground, there is a lush green mountain with a gentle waterfall cascading down into a clear, flowing river. The mountain is adorned with vibrant green trees and colorful flowers. The river is surrounded by smooth pebbles and small rocks. The sky above is clear, with fluffy white clouds scattered across a light blue backdrop. The overall atmosphere should evoke a sense of tranquility and natural beauty."
7,"Generate an image with no text or watermark. The picture should depict a vibrant scene inspired by ancient Chinese style. In the foreground, there is a majestic mountain range, formed by fiery clouds that resemble a blazing sun. The clouds are a vivid shade of red, symbolizing the intensity of the sun's rays. The mountains are depicted in various shades of gray and brown, showcasing their rugged beauty. The background should be a serene landscape, featuring lush greenery, flowing rivers, and traditional Chinese architecture. The overall color scheme should be warm and earthy, with hints of red and gold."
8,"Generate an image with no text or watermark. The picture should depict a scene from ancient China. In the foreground, there is a person dressed in traditional Chinese clothing, raising a cup in a toast. The person is surrounded by vibrant green willow trees, which hang gracefully beside a tall, elegant building. The building is adorned with intricate carvings and has a distinct ancient Chinese architectural style. The background should be a serene landscape, with rolling hills and a clear blue sky. The overall color palette should consist of soft, muted tones, reminiscent of traditional Chinese paintings."
9,"Generate an image with no text or watermark. The picture should depict a serene scene inspired by ancient Chinese style. In the foreground, there should be a light rain falling on a small inn. The inn is surrounded by vibrant green willow trees, symbolizing the arrival of spring. The raindrops gently touch the ground, creating a sense of tranquility. The color palette should consist of soft, muted tones, with hints of green and blue to represent the rain and the lush vegetation. The background should showcase a picturesque landscape, featuring distant mountains and a winding river. The overall atmosphere should evoke a feeling of peace and harmony."
